CATEGORIA,FILAS,PORCENTAJE
Guatemala,3805,32.79
San Marcos,724,6.24
Escuintla,708,6.1
Huehuetenango,591,5.09
Quetzaltenango,551,4.75
Petén,516,4.45
Alta Verapaz,475,4.09
Suchitepéquez,437,3.77
Chimaltenango,435,3.75
Sacatepéquez,430,3.71
Izabal,413,3.56
Jutiapa,392,3.38
Retalhuleu,364,3.14
Quiché,322,2.78
Chiquimula,239,2.06
Santa Rosa,213,1.84
Sololá,192,1.65
Jalapa,183,1.58
Baja Verapaz,171,1.47
El Progreso,158,1.36
Zacapa,156,1.34
Totonicapán,128,1.1
