CATEGORIA,FILAS,PORCENTAJE
Diario (regular),7284,62.78
Fin de Semana,2839,24.47
Semipresencial (Fin de Semana),522,4.5
Semipresencial (Un Día a la Semana),434,3.74
A Distancia,183,1.58
Semipresencial,118,1.02
Semipresencial (Dos Días a la Semana),66,0.57
Virtual a Distancia,63,0.54
Sabatino,58,0.5
Dominical,27,0.23
Mixto,4,0.03
Irregular,3,0.03
Intercalado,2,0.02
